+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                                                                                                                      ;
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                                                                                                                  ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; m_neural_soc|mm_interconnect_0|router_003                                                                                                                                                                                                  ; 113   ; 0              ; 2            ; 0              ; 126    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|mm_interconnect_0|router_002|the_default_decode                                                                                                                                                                               ; 0     ; 15             ; 0            ; 15             ; 15     ; 15              ; 15            ; 15              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|mm_interconnect_0|router_002                                                                                                                                                                                                  ; 113   ; 0              ; 2            ; 0              ; 126    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|mm_interconnect_0|router_001|the_default_decode                                                                                                                                                                               ; 0     ; 19             ; 0            ; 19             ; 19     ; 19              ; 19            ; 19              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|mm_interconnect_0|router_001                                                                                                                                                                                                  ; 113   ; 0              ; 6            ; 0              ; 126    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|mm_interconnect_0|router|the_default_decode                                                                                                                                                                                   ; 0     ; 19             ; 0            ; 19             ; 19     ; 19              ; 19            ; 19              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|mm_interconnect_0|router                                                                                                                                                                                                      ; 113   ; 0              ; 6            ; 0              ; 126    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|mm_interconnect_0|to_isig_sw_port_s1_agent_rsp_fifo                                                                                                                                                                           ; 153   ; 39             ; 0            ; 39             ; 112    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|mm_interconnect_0|to_isig_sw_port_s1_agent|uncompressor                                                                                                                                                                       ; 45    ; 1              ; 0            ; 1              ; 43     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|mm_interconnect_0|to_isig_sw_port_s1_agent                                                                                                                                                                                    ; 314   ; 39             ; 52           ; 39             ; 331    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|mm_interconnect_0|to_isig_hw_port_s1_agent_rsp_fifo                                                                                                                                                                           ; 153   ; 39             ; 0            ; 39             ; 112    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|mm_interconnect_0|to_isig_hw_port_s1_agent|uncompressor                                                                                                                                                                       ; 45    ; 1              ; 0            ; 1              ; 43     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|mm_interconnect_0|to_isig_hw_port_s1_agent                                                                                                                                                                                    ; 314   ; 39             ; 52           ; 39             ; 331    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|mm_interconnect_0|to_sw_sig_s1_agent_rsp_fifo                                                                                                                                                                                 ; 153   ; 39             ; 0            ; 39             ; 112    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|mm_interconnect_0|to_sw_sig_s1_agent|uncompressor                                                                                                                                                                             ; 45    ; 1              ; 0            ; 1              ; 43     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|mm_interconnect_0|to_sw_sig_s1_agent                                                                                                                                                                                          ; 314   ; 39             ; 52           ; 39             ; 331    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|mm_interconnect_0|to_sig_sw_port_s1_agent_rsp_fifo                                                                                                                                                                            ; 153   ; 39             ; 0            ; 39             ; 112    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|mm_interconnect_0|to_sig_sw_port_s1_agent|uncompressor                                                                                                                                                                        ; 45    ; 1              ; 0            ; 1              ; 43     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|mm_interconnect_0|to_sig_sw_port_s1_agent                                                                                                                                                                                     ; 314   ; 39             ; 52           ; 39             ; 331    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|mm_interconnect_0|to_hw_sig_s1_agent_rsp_fifo                                                                                                                                                                                 ; 153   ; 39             ; 0            ; 39             ; 112    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|mm_interconnect_0|to_hw_sig_s1_agent|uncompressor                                                                                                                                                                             ; 45    ; 1              ; 0            ; 1              ; 43     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|mm_interconnect_0|to_hw_sig_s1_agent                                                                                                                                                                                          ; 314   ; 39             ; 52           ; 39             ; 331    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|mm_interconnect_0|to_sig_hw_port_s1_agent_rsp_fifo                                                                                                                                                                            ; 153   ; 39             ; 0            ; 39             ; 112    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|mm_interconnect_0|to_sig_hw_port_s1_agent|uncompressor                                                                                                                                                                        ; 45    ; 1              ; 0            ; 1              ; 43     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|mm_interconnect_0|to_sig_hw_port_s1_agent                                                                                                                                                                                     ; 314   ; 39             ; 52           ; 39             ; 331    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|mm_interconnect_0|key_s1_agent_rsp_fifo                                                                                                                                                                                       ; 153   ; 39             ; 0            ; 39             ; 112    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|mm_interconnect_0|key_s1_agent|uncompressor                                                                                                                                                                                   ; 45    ; 1              ; 0            ; 1              ; 43     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|mm_interconnect_0|key_s1_agent                                                                                                                                                                                                ; 314   ; 39             ; 52           ; 39             ; 331    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|mm_interconnect_0|switch_s1_agent_rsp_fifo                                                                                                                                                                                    ; 153   ; 39             ; 0            ; 39             ; 112    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|mm_interconnect_0|switch_s1_agent|uncompressor                                                                                                                                                                                ; 45    ; 1              ; 0            ; 1              ; 43     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|mm_interconnect_0|switch_s1_agent                                                                                                                                                                                             ; 314   ; 39             ; 52           ; 39             ; 331    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|mm_interconnect_0|sdram_s1_agent_rdata_fifo                                                                                                                                                                                   ; 79    ; 41             ; 0            ; 41             ; 36     ; 41              ; 41            ; 41              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|mm_interconnect_0|sdram_s1_agent_rsp_fifo                                                                                                                                                                                     ; 153   ; 39             ; 0            ; 39             ; 112    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|mm_interconnect_0|sdram_s1_agent|uncompressor                                                                                                                                                                                 ; 45    ; 1              ; 0            ; 1              ; 43     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|mm_interconnect_0|sdram_s1_agent                                                                                                                                                                                              ; 314   ; 39             ; 52           ; 39             ; 331    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|mm_interconnect_0|led_s1_agent_rsp_fifo                                                                                                                                                                                       ; 153   ; 39             ; 0            ; 39             ; 112    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|mm_interconnect_0|led_s1_agent|uncompressor                                                                                                                                                                                   ; 45    ; 1              ; 0            ; 1              ; 43     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|mm_interconnect_0|led_s1_agent                                                                                                                                                                                                ; 314   ; 39             ; 52           ; 39             ; 331    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|mm_interconnect_0|onchip_memory2_0_s1_agent_rsp_fifo                                                                                                                                                                          ; 153   ; 39             ; 0            ; 39             ; 112    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|mm_interconnect_0|onchip_memory2_0_s1_agent|uncompressor                                                                                                                                                                      ; 45    ; 1              ; 0            ; 1              ; 43     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|mm_interconnect_0|onchip_memory2_0_s1_agent                                                                                                                                                                                   ; 314   ; 39             ; 52           ; 39             ; 331    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|mm_interconnect_0|sdram_pll_pll_slave_agent_rsp_fifo                                                                                                                                                                          ; 153   ; 39             ; 0            ; 39             ; 112    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|mm_interconnect_0|sdram_pll_pll_slave_agent|uncompressor                                                                                                                                                                      ; 45    ; 1              ; 0            ; 1              ; 43     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|mm_interconnect_0|sdram_pll_pll_slave_agent                                                                                                                                                                                   ; 314   ; 39             ; 52           ; 39             ; 331    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|mm_interconnect_0|nios2_gen2_0_debug_mem_slave_agent_rsp_fifo                                                                                                                                                                 ; 153   ; 39             ; 0            ; 39             ; 112    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|mm_interconnect_0|nios2_gen2_0_debug_mem_slave_agent|uncompressor                                                                                                                                                             ; 45    ; 1              ; 0            ; 1              ; 43     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|mm_interconnect_0|nios2_gen2_0_debug_mem_slave_agent                                                                                                                                                                          ; 314   ; 39             ; 52           ; 39             ; 331    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|mm_interconnect_0|sysid_qsys_0_control_slave_agent_rsp_fifo                                                                                                                                                                   ; 153   ; 39             ; 0            ; 39             ; 112    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|mm_interconnect_0|sysid_qsys_0_control_slave_agent|uncompressor                                                                                                                                                               ; 45    ; 1              ; 0            ; 1              ; 43     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|mm_interconnect_0|sysid_qsys_0_control_slave_agent                                                                                                                                                                            ; 314   ; 39             ; 52           ; 39             ; 331    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|mm_interconnect_0|jtag_uart_0_avalon_jtag_slave_agent_rsp_fifo                                                                                                                                                                ; 153   ; 39             ; 0            ; 39             ; 112    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|mm_interconnect_0|jtag_uart_0_avalon_jtag_slave_agent|uncompressor                                                                                                                                                            ; 45    ; 1              ; 0            ; 1              ; 43     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|mm_interconnect_0|jtag_uart_0_avalon_jtag_slave_agent                                                                                                                                                                         ; 314   ; 39             ; 52           ; 39             ; 331    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|mm_interconnect_0|nios2_gen2_0_instruction_master_agent                                                                                                                                                                       ; 200   ; 39             ; 94           ; 39             ; 145    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|mm_interconnect_0|nios2_gen2_0_data_master_agent                                                                                                                                                                              ; 200   ; 39             ; 94           ; 39             ; 145    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|mm_interconnect_0|to_isig_sw_port_s1_translator                                                                                                                                                                               ; 112   ; 6              ; 30           ; 6              ; 36     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|mm_interconnect_0|to_isig_hw_port_s1_translator                                                                                                                                                                               ; 112   ; 6              ; 30           ; 6              ; 70     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|mm_interconnect_0|to_sw_sig_s1_translator                                                                                                                                                                                     ; 112   ; 6              ; 30           ; 6              ; 36     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|mm_interconnect_0|to_sig_sw_port_s1_translator                                                                                                                                                                                ; 112   ; 6              ; 30           ; 6              ; 36     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|mm_interconnect_0|to_hw_sig_s1_translator                                                                                                                                                                                     ; 112   ; 6              ; 30           ; 6              ; 70     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|mm_interconnect_0|to_sig_hw_port_s1_translator                                                                                                                                                                                ; 112   ; 6              ; 30           ; 6              ; 70     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|mm_interconnect_0|key_s1_translator                                                                                                                                                                                           ; 112   ; 6              ; 30           ; 6              ; 36     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|mm_interconnect_0|switch_s1_translator                                                                                                                                                                                        ; 112   ; 6              ; 30           ; 6              ; 36     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|mm_interconnect_0|sdram_s1_translator                                                                                                                                                                                         ; 112   ; 4              ; 4            ; 4              ; 98     ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|mm_interconnect_0|led_s1_translator                                                                                                                                                                                           ; 112   ; 6              ; 30           ; 6              ; 70     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|mm_interconnect_0|onchip_memory2_0_s1_translator                                                                                                                                                                              ; 112   ; 7              ; 27           ; 7              ; 75     ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|mm_interconnect_0|sdram_pll_pll_slave_translator                                                                                                                                                                              ; 112   ; 6              ; 27           ; 6              ; 70     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|mm_interconnect_0|nios2_gen2_0_debug_mem_slave_translator                                                                                                                                                                     ; 112   ; 5              ; 20           ; 5              ; 82     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|mm_interconnect_0|sysid_qsys_0_control_slave_translator                                                                                                                                                                       ; 112   ; 6              ; 28           ; 6              ; 35     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|mm_interconnect_0|jtag_uart_0_avalon_jtag_slave_translator                                                                                                                                                                    ; 112   ; 5              ; 31           ; 5              ; 70     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|mm_interconnect_0|nios2_gen2_0_instruction_master_translator                                                                                                                                                                  ; 113   ; 51             ; 0            ; 51             ; 105    ; 51              ; 51            ; 51              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|mm_interconnect_0|nios2_gen2_0_data_master_translator                                                                                                                                                                         ; 113   ; 12             ; 0            ; 12             ; 105    ; 12              ; 12            ; 12              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|mm_interconnect_0                                                                                                                                                                                                             ; 586   ; 0              ; 0            ; 0              ; 446    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|nios2_gen2_0_custom_instruction_master_multi_slave_translator0                                                                                                                                                                ; 161   ; 0              ; 5            ; 0              ; 105    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|nios2_gen2_0_custom_instruction_master_multi_xconnect                                                                                                                                                                         ; 128   ; 0              ; 0            ; 0              ; 161    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|nios2_gen2_0_custom_instruction_master_comb_slave_translator0                                                                                                                                                                 ; 161   ; 6              ; 4            ; 6              ; 100    ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|nios2_gen2_0_custom_instruction_master_comb_xconnect                                                                                                                                                                          ; 155   ; 0              ; 0            ; 0              ; 155    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|nios2_gen2_0_custom_instruction_master_translator                                                                                                                                                                             ; 283   ; 90             ; 0            ; 90             ; 251    ; 90              ; 90            ; 90              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|to_sw_sig                                                                                                                                                                                                                     ; 6     ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|to_sig_sw_port                                                                                                                                                                                                                ; 36    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|to_sig_hw_port                                                                                                                                                                                                                ; 38    ; 0              ; 0            ; 0              ; 64     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|to_isig_sw_port                                                                                                                                                                                                               ; 36    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|to_isig_hw_port                                                                                                                                                                                                               ; 38    ; 0              ; 0            ; 0              ; 64     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|to_hw_sig                                                                                                                                                                                                                     ; 38    ; 30             ; 30           ; 30             ; 34     ; 30              ; 30            ; 30              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|sysid_qsys_0                                                                                                                                                                                                                  ; 3     ; 17             ; 2            ; 17             ; 32     ; 17              ; 17            ; 17              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|switch                                                                                                                                                                                                                        ; 12    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|sdram_pll|sd1                                                                                                                                                                                                                 ; 3     ; 1              ; 0            ; 1              ; 6      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|sdram_pll|stdsync2|dffpipe3                                                                                                                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|sdram_pll|stdsync2                                                                                                                                                                                                            ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|sdram_pll                                                                                                                                                                                                                     ; 38    ; 30             ; 30           ; 30             ; 34     ; 30              ; 30            ; 30              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|sdram|the_neural_soc_sdram_input_efifo_module                                                                                                                                                                                 ; 66    ; 0              ; 0            ; 0              ; 66     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|sdram                                                                                                                                                                                                                         ; 66    ; 1              ; 1            ; 1              ; 58     ; 1               ; 1             ; 1               ; 32    ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|onchip_memory2_0|the_altsyncram|auto_generated                                                                                                                                                                                ; 41    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|onchip_memory2_0                                                                                                                                                                                                              ; 44    ; 0              ; 1            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|nios_custom_instr_floating_point_2_0|fpci_multi|datapath|sqrt|ld_fracSel_uid47_fpSqrtTest_q_to_fracRPostExc_uid55_fpSqrtTest_b                                                                                                ; 5     ; 1              ; 0            ; 1              ; 2      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|nios_custom_instr_floating_point_2_0|fpci_multi|datapath|sqrt|memoryC0_uid59_sqrtTableGenerator_lutmem_dmem|auto_generated                                                                                                    ; 48    ; 0              ; 0            ; 0              ; 29     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|nios_custom_instr_floating_point_2_0|fpci_multi|datapath|sqrt|ld_addrTable_uid36_fpSqrtTest_q_to_memoryC0_uid59_sqrtTableGenerator_lutmem_a                                                                                   ; 11    ; 1              ; 0            ; 1              ; 8      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|nios_custom_instr_floating_point_2_0|fpci_multi|datapath|sqrt|topProd_uid80_pT2_uid69_sqrtPolynomialEvaluator_component|auto_generated                                                                                        ; 37    ; 0              ; 0            ; 0              ; 35     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|nios_custom_instr_floating_point_2_0|fpci_multi|datapath|sqrt|ld_FracX15dto0_uid37_fpSqrtTest_b_to_topProd_uid80_pT2_uid69_sqrtPolynomialEvaluator_a                                                                          ; 19    ; 1              ; 0            ; 1              ; 16     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|nios_custom_instr_floating_point_2_0|fpci_multi|datapath|sqrt|sm0_uid83_pT2_uid69_sqrtPolynomialEvaluator_component|auto_generated                                                                                            ; 15    ; 0              ; 0            ; 0              ; 13     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|nios_custom_instr_floating_point_2_0|fpci_multi|datapath|sqrt|memoryC1_uid60_sqrtTableGenerator_lutmem_dmem|auto_generated                                                                                                    ; 40    ; 0              ; 0            ; 0              ; 21     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|nios_custom_instr_floating_point_2_0|fpci_multi|datapath|sqrt|ld_addrTable_uid36_fpSqrtTest_q_to_memoryC1_uid60_sqrtTableGenerator_lutmem_a                                                                                   ; 11    ; 1              ; 0            ; 1              ; 8      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|nios_custom_instr_floating_point_2_0|fpci_multi|datapath|sqrt|prodXY_uid75_pT1_uid63_sqrtPolynomialEvaluator_component|auto_generated                                                                                         ; 27    ; 0              ; 0            ; 0              ; 25     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|nios_custom_instr_floating_point_2_0|fpci_multi|datapath|sqrt|memoryC2_uid61_sqrtTableGenerator_lutmem_dmem|auto_generated                                                                                                    ; 31    ; 0              ; 0            ; 0              ; 12     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|nios_custom_instr_floating_point_2_0|fpci_multi|datapath|sqrt|ld_sSM0W_uid82_pT2_uid69_sqrtPolynomialEvaluator_b_to_sm0_uid83_pT2_uid69_sqrtPolynomialEvaluator_b                                                             ; 11    ; 1              ; 0            ; 1              ; 8      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|nios_custom_instr_floating_point_2_0|fpci_multi|datapath|sqrt|ld_fracX_uid7_fpSqrtTest_b_to_FracX15dto0_uid37_fpSqrtTest_a                                                                                                    ; 26    ; 8              ; 0            ; 8              ; 23     ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|nios_custom_instr_floating_point_2_0|fpci_multi|datapath|sqrt|ld_expRPostExc_uid51_fpSqrtTest_q_to_RSqrt_uid57_fpSqrtTest_b                                                                                                   ; 11    ; 1              ; 0            ; 1              ; 8      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|nios_custom_instr_floating_point_2_0|fpci_multi|datapath|sqrt|ld_negZero_uid56_fpSqrtTest_q_to_RSqrt_uid57_fpSqrtTest_c                                                                                                       ; 4     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|nios_custom_instr_floating_point_2_0|fpci_multi|datapath|sqrt                                                                                                                                                                 ; 35    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|nios_custom_instr_floating_point_2_0|fpci_multi|datapath|Float2Int                                                                                                                                                            ; 33    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|nios_custom_instr_floating_point_2_0|fpci_multi|datapath|int2float|ld_inIsZero_uid12_fxpToFPTest_q_to_excSelector_uid23_fxpToFPTest_a                                                                                         ; 4     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_neural_soc|nios_custom_instr_floating_point_2_0|fpci_multi|datapath|int2float|ld_vStagei_uid47_lzcShifterZ1_uid10_fxpToFPTest_q_to_vStagei_uid54_lzcShifterZ1_uid10_fxpToFPTest_c                                                        ; 35    ; 1              ; 0            ; 1              ; 32     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
